comparison,graph,stratum,aggregation,metric,estimate,ci_low,ci_high,num_images,num_images_total,num_rows,num_rows_total,num_classes,bootstrap_repeats,bootstrap_valid_repeats,bootstrap_valid_fraction,bootstrap_seed,bootstrap_base_seed
relevance_x_stability_minus_relevance,B2_feature,all,micro,target_tail_enrich_10,-1.3034292960231548,-1.40081798599084,-1.2085695174639608,1441,1449,2031,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,bg_tail_enrich_05,0.16198197875247983,0.1475492762214277,0.1749065834719012,1432,1449,2120,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,auc_target_bg,-0.08074818976206903,-0.0851385651593388,-0.0765951297544826,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,auc_target_other,-0.029259318858536526,-0.0352537789117209,-0.0242902751916796,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,ap_target_bg,-0.18565010359146503,-0.1961879046589742,-0.17538007898774616,1424,1449,2004,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,micro,ap_target_other,-0.05885504556713332,-0.06670771887026795,-0.05121277114436398,462,1449,1052,2147,,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,target_hit,-0.08013605520278527,-0.09748542329458444,-0.06325723570712902,1449,1449,2147,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,target_tail_enrich_05,-2.0934195410863508,-2.2868530458358416,-1.9042092257475112,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,target_tail_enrich_10,-1.2908629507835037,-1.389203087151677,-1.1958632443499793,1441,1449,2031,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,bg_tail_enrich_05,0.15854626123079424,0.1474972727377066,0.16901159194642149,1432,1449,2120,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,auc_target_bg,-0.08118358621909165,-0.0852199299767839,-0.07728101843854676,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,auc_target_other,-0.023033683998112946,-0.02938208193509192,-0.017809115084461997,462,1449,1052,2147,20,5000,5000,1.0,3021694564,20260901
relevance_x_stability_minus_relevance,B2_feature,all,macro_class,ap_target_bg,-0.18300831135344203,-0.19258527296192735,-0.17332422515923168,1424,1449,2004,2147,20,5000,5000,1.0,3021694564,20260901
